Dealer Name	Location	Phone	Website Address																						
Specialist Cars Group	Birmingham	(07537) 165600	http://www.specialistcarsgroup.co.uk/																						
R A Motor Company	Birmingham	(0121) 721 8380	https://www.ramotorcompany.co.uk/																						
Prestige Automotives	Birmingham	(0121) 659 3275	https://www.prestige-automotives.co.uk/																						
EMC Trade Centre	Birmingham	(0121) 659 0756	https://www.emctradecentre.co.uk/																						
Mercedes-Benz of Birmingham	Birmingham	(0121) 659 5941	http://www.lshauto.co.uk/locations/1768/mercedes-benz-of-birmingham-used-cars/																						
Mercedes Benz of Birmingham Vans	Birmingham	(0121) 721 8537	https://www.lshauto.co.uk/locations/1768/mercedes-benz-of-birmingham-used-cars/																						
Johnsons Skoda Birmingham	Birmingham	(0121) 659 7881	http://www.johnsonscars.co.uk/skoda/used-cars/?utm_source=11&utm_medium=3&utm_campaign=CM001572-1																						
Birmingham Van Centre	Birmingham	(0121) 721 8348	https://www.birminghamvancentre.co.uk/																						
M And H Motors	Birmingham	(07537) 165738	https://www.mandhmotors.co.uk/																						
MW Motor Solutions Limited	Birmingham	(0121) 659 8231																							
Long Acre Car Sales	Birmingham	(0121) 721 0456																							
XCCELERATE AUTOMOTIVE LTD	Birmingham	(07537) 122126	http://xccelerateautomotive.co.uk/																						
Lookers Car Hub Star City	Birmingham	(0121) 721 8969	http://www.lookers.co.uk/vauxhall/																						
QC Trade Centre Birmingham	Birmingham	(07868) 787986	http://www.qctradecentrebirmingham.co.uk/																						
Fort Used Cars	Birmingham	(0121) 659 5127	http://www.fortauto.com/																						
Touchwood Motors	Birmingham	(07537) 124040	https://www.touchwoodmotors.co.uk/																						
Sutton Park Perry Barr	Birmingham	(0121) 721 9677	https://www.suttonparkgroup.co.uk/																						
The Motors	Birmingham	(07418) 690171																							
Sandhurst Motors	Birmingham	(0121) 659 1201																							
Audi Approved Erdington	Birmingham	(0121) 721 9357	https://www.stratstone.com/audi/used-cars/																						
Stratstone Land Rover Birmingham North	Birmingham	(0121) 659 5965	https://www.stratstone.com/land-rover/																						
Stellantis &You Birmingham North	Birmingham	(0121) 659 7917	https://www.stellantisandyou.co.uk/used-vehicles/dealer/birmingham-north																						
Hayes Motor Group	Birmingham	(07537) 123377	http://www.hayesmotorgroup.co.uk/																						
Motorpoint Birmingham	Birmingham	(0121) 659 7837	http://www.motorpoint.co.uk/																						
Wixford Motor Company	Birmingham	(0121) 659 0758	https://www.wixfordmotorco.co.uk/																						
G.W.C	Birmingham	(0121) 659 7098	http://gwconline.co.uk/																						
HRM Motors	Birmingham	(0121) 659 3642	https://www.hrmmotors.co.uk/																						
IMV MOTORS LTD	Sutton Coldfield	(07588) 768352																							
Steven Eagell Birmingham	Birmingham	(0121) 659 3086	https://www.steveneagell.co.uk/toyota																						
Lamborghini Birmingham	Birmingham	(0121) 721 8277	http://www.sytner.co.uk/lamborghini/car-search/birmingham?utm_medium=aggregator&utm_source=autotrader&utm_campaign=uvl_link																						
Bentley Birmingham	Birmingham	(0121) 721 8293	https://www.sytner.co.uk/bentley/dealerships/birmingham/car-search/?utm_medium=aggregator&utm_source=autotrader&utm_campaign=uvl_link																						
Lexus Birmingham	Birmingham	(0121) 659 5139	https://www.steveneagelllexus.co.uk/locations/7227/lexus-birmingham/																						
DN Motors Birmingham	Birmingham	(07441) 906361																							
GENERAL MOTORS	Birmingham	(07537) 125299																							
Sutton Trade Carz	Birmingham	(07537) 122434	https://www.suttontradecarz.co.uk/																						
Eminence Motors Ltd	Birmingham	(07537) 125040	https://www.eminence-motors.co.uk/																						
Ultra Line Cars Ltd	Birmingham	(07308) 307499																							
